Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Product_ID,Category,Sub_Category,Product_Name,Ship_Date,Country,City,State,Postal_Code,Region
CA-2017-127656,2017-07-11,NW-18400,Natalie Webber,Consumer,OFF-AR-10001166,Office Supplies,Art,Staples in misc. colors,2017-07-17,United States,Waterloo,Iowa,50701,Central
CA-2016-157714,2016-09-26,CS-12175,Charles Sheldon,Corporate,OFF-PA-10004022,Office Supplies,Paper,Hammermill Color Copier Paper (28Lb. and 96 Bright),2016-10-01,United States,Iowa City,Iowa,52240,Central
CA-2015-153381,2015-09-24,DE-13255,Deanra Eno,Home Office,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",2015-09-28,United States,Dubuque,Iowa,52001,Central
CA-2015-153381,2015-09-24,DE-13255,Deanra Eno,Home Office,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,2015-09-28,United States,Dubuque,Iowa,52001,Central
US-2015-151407,2015-11-08,RD-19585,Rob Dowd,Consumer,TEC-PH-10003885,Technology,Phones,Cisco SPA508G,2015-11-12,United States,Dubuque,Iowa,52001,Central
CA-2017-107265,2017-04-06,ML-17755,Max Ludwig,Home Office,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,2017-04-12,United States,Marion,Iowa,52302,Central
CA-2016-105354,2016-12-02,PW-19030,Pauline Webber,Corporate,OFF-BI-10001107,Office Supplies,Binders,"GBC White Gloss Covers, Plain Front",2016-12-06,United States,Marion,Iowa,52302,Central
CA-2017-160927,2017-01-29,TM-21010,Tamara Manning,Consumer,OFF-PA-10003848,Office Supplies,Paper,Xerox 1997,2017-01-31,United States,Marion,Iowa,52302,Central
CA-2017-160927,2017-01-29,TM-21010,Tamara Manning,Consumer,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,2017-01-31,United States,Marion,Iowa,52302,Central
CA-2017-160927,2017-01-29,TM-21010,Tamara Manning,Consumer,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",2017-01-31,United States,Marion,Iowa,52302,Central
CA-2017-160927,2017-01-29,TM-21010,Tamara Manning,Consumer,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",2017-01-31,United States,Marion,Iowa,52302,Central
US-2017-106705,2017-12-26,PO-18850,Patrick O'Brill,Consumer,OFF-PA-10001509,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",2018-01-01,United States,Burlington,Iowa,52601,Central
CA-2017-142776,2017-12-11,RS-19870,Roy Skaria,Home Office,OFF-EN-10003160,Office Supplies,Envelopes,Pastel Pink Envelopes,2017-12-14,United States,Burlington,Iowa,52601,Central
CA-2017-142776,2017-12-11,RS-19870,Roy Skaria,Home Office,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,2017-12-14,United States,Burlington,Iowa,52601,Central
